성당 태왕아너스 메트로'는 분양시장이 초역세권 입지와 변화하는 라이프스타일에 맞춘 혁신평면으로 아파트 선택에 미치는 영향력이 커지고 있는 가운데, 분양관계자는 합리적인 분양가와 중도금무이자 등의 분양조건에 실수요자들이 높은 청약경쟁률을 기대한다고 밝혔다.	태왕의 '성당 태왕아너스 메트로'모델하우스는 초역세권 입지와 변화하는 라이프스타일에 맞춘 혁신평면으로 오픈 당일부터 관람객의 줄이 이어지면서 관람객의 호평을 받았다.
최근 늘어나고 있는 집회시위에서 가장 문제가 되는 것은 바로 '소음'이며 이러한 소음으로 인한 일상생활에 대한 고통을 해결하기 위해서는 법률적으로 미비한 점이 많다.	최근 늘어나고 있는 집회시위에서 소음이 문제가 되고 있는데 현행 집회와 시위에 관한 법률에서는 소음을 규제하고 있으나 그 기준이 일반 시민이 느끼는 기준과 괴리감이 심해 집회인들은 자신들의  요구를 전달하기 위해 확성기 사용은 불가피하다고 주장하고 있고 대다수 주민들은 소음으로 인해 많은 불편함을 느끼고 있다.
고흥군은 도시민 유치와 귀농·귀촌인의 안정적인 정착을 위해 지난 19일 옛 망주초등학교에서 송귀근 군수, 송우섭 군의회 의장, 귀농·귀촌인, 주민 등 300여명이 참석한 가운데 고흥 귀농귀촌행복학교 개교 행사를 가졌다.	지난 19일 고흥군에 따르면 송귀근 군수와 주민 등 300여 명이 참석한 가운데 귀농·귀촌인의 안정적인 정착을 돕고 영농교육 등을 담당하기 위해 지난해부터 추진했던 ‘귀농귀촌 행복학교'의 개교 행사를 했다.
23일 조선대학교 하이다이빙 경기장에서 열린 여자 하이다이빙 최종전에서 호주의 이프랜드가 금메달을 차지해 대회 2연패를 달성했다.	23일 조선대학교에서 열린 여자 하이다이빙 최종전에서 호주의 이프랜드가 금메달을 차지해 여자 하이다이빙 최강자임을 다시 한번 입증했다.
인사혁신처는 2019년도 시간선택제 국가공무원 경력경쟁 채용시험 시행계획을 3일 사이버국가고시센터에서 발표했다.	사이버 국가고시센터에서는 시간선택제 공무원을 선발 하는데, 시간선택제 공무원은 통상적인 근무시간보다 짧게 근무하는 공무원을 말하며, 정년은 60세로 동일하고 승진소요 최저연수,보수는 근무시간과 비례해 인정.지급한다.
홍성군 오관지구 내 공동주택 건설 사업이 본격화 되면서, 민간사업자 공모는 3개월간 진행되고, 이후 지자체 인허가 및 설계를 걸쳐 빠르면 올 하반기 말이나 2021년 3월 본격적인 보상절차가 이루어질 예정이다.	한국토지주택공사는 지난 7일 홍성오관지구의 민간사업자 공모를 공고하고 사업자 선정에 착수하였으며 군 역세권내 공동 주택 건설을 비롯하여 원도심 지역의 개발이 가시화되고 있다.
국토부는 미계약분 물량이 일부 현금 부자들에게 돌아가는 일명 '줍줍현상'을 방지하기 위해 청약시스템(아파트투유) 개선이 필요한 사항으로 이달 20일부터 예비당첨자 비율을 5배수로 확대한다고 밝혔다.	국토교통부는 당첨자 및 예비당첨자 모두 계약을 포기하거나 부적격 취소될 시 남은 물량을 무순위 청약으로 공급하였는데 최근 무순위 청약물량이 과도하게 발생하면서 일부에서 현금부자들이 아파트분양을 많이 받게되는 현상이 벌어져 이를 막기 위해 예비 당첨자 비율 확대 등을 통해 무순위 청약을 개선할 계획이라고 9일 밝혔다.
최근 경영애로를 겪고 있는 소상공인과 자영업자의 금융비용 부담을 완화하고 서민경제의 활력을 제고하기 위해 기업은행, 기술보증기금,신용보증재단 중앙회·기업은행이 31일 서울 중구 기업은행 본점에서 '소상공인·자영업자 특별 금융지원 업무협약'을 체결했다.	신용보증기금 등 3개 기관은 31일 서울 중구 기업은행 본점에서 최근 경영에 어려움을 겪는 소상공인 등의 금융비용 부담을 줄이고 서민경제에 활력을 주기 위해 '소상공인. 자영업자 특별 금융지원 업무협약'을 체결했다고 전했으며 지원대상은 필요한 조건을 갖춘 수출중소기업, 유망창업기업 등이다.
광주 지방 국세청은 17일 정부광주지방합동청사 3층 세미나실에서 혁신성장 기업 대표 50여명을 대상으로 다양한 세정지원 제도를 안내하는 동시에 기업 현장의 애로·건의사항을 경청하기 위해 ‘상생하고 포용하는 세정구현을 위한’ 혁신성장 기업 세정지원 설명회를 열어 주목을 끌었다.	광주지방국세청은 '상생하고 포용하는 세정구현을 위한' 혁신성장 기업 세정지원 설명회를 열어 여러 세정지원 제도를 안내하고 기업 현장의 애로, 건의사항을 경청하며 기업 맞춤형 세정서비스를 제공할 것을 약속했다.
전국협동조합 노동조합 경기·인천지역본부 노조원들은 30일 강화읍 강화 옹진 축산업협동조합 본점 앞에서 조합 자체감사와 2번에 걸친 농협중앙회 감사, 검찰의 수사과정에서 조합장이 임의 채용한 서울축산물유통센터(센터)장 A씨에게 부당한 자금 지원을 하는 등 비상식적인 약정으로 막대한 재산상 손실을 끼쳐온 축협장의 즉각적인 퇴진을 촉구했다.	전국협동조합 노조원들이 비상식적인 약정으로 막대한 재산상 손실을 끼치고 적자결산을 하는 등 부실·방만 경영을 한 조합장의 즉각적인 퇴진을 촉구했다.
